,GICS Sector,GICS Sub-Industry,Name,open,high,low,close,daily_gain,daily_volatility,daily_gain%,volatility%
352,Information Technology,"Technology Hardware, Storage & Peripherals",HPQ,15.91280137693632,16.098330636833047,15.754650430292601,15.938468158347682,0.025666781411359734,0.34368020654044734,0.1759426643298098,2.2906664569955515
351,Information Technology,"Technology Hardware, Storage & Peripherals",HPE,17.997475043029258,18.241245955249568,17.797558347676425,18.03087779690189,0.033402753872633376,0.4436876075731499,0.17476943738560893,2.5524347671561434
296,Industrials,Research & Consulting Services,INFO,33.794193020719774,34.12587928026174,33.48568778625953,33.8350763358779,0.04088331515812425,0.6401914940021819,0.13041380164901048,1.9904135852503404
40,Consumer Discretionary,Computer & Electronics Retail,BBY,37.85417791898332,38.358001826846646,37.388816123907915,37.89544876886418,0.04127084988085765,0.9691857029388389,0.11151618350511915,2.6747760022457143
343,Information Technology,Semiconductors,NVDA,56.316545671167525,57.07131898332018,55.51310349483719,56.36936814932481,0.05282247815726782,1.5582154884829214,0.10904844902495306,2.4757824819700507
315,Information Technology,Data Processing & Outsourced Services,FISV,85.18342335186648,85.80140190627493,84.63016624305004,85.26878276409856,0.08535941223193008,1.1712356632247805,0.1047555652544756,1.3943351312500318
232,Health Care,Managed Health Care,HUM,162.66355837966657,164.4258121525021,161.09403661636227,162.81292295472608,0.1493645750595709,3.3317755361398014,0.10208865759786283,2.0641690366332495
307,Information Technology,Application Software,INTU,99.01189833200927,99.81208999205738,98.25174376489284,99.10979825258147,0.09789992057188256,1.5603462271644144,0.10163726846754756,1.606378832312235
9,Communication Services,Interactive Home Entertainment,EA,61.56837180301809,62.2797060365369,60.86856973788713,61.61553542494032,0.04716362192216065,1.4111362986497216,0.10132281346443274,2.417478274155901
211,Health Care,Health Care Equipment,RMD,59.4259173947577,59.95132517871333,58.94839261318517,59.49138999205712,0.06547259729944385,1.0029325655281955,0.09921932300645302,1.7098433686018129
229,Health Care,Managed Health Care,ANTM,134.1646105639396,135.51758546465433,132.9165046068309,134.28223987291494,0.11762930897537734,2.601080857823667,0.09686872869405397,1.9337464182683017
243,Industrials,Aerospace & Defense,HII,133.70712073073875,134.96373566322464,132.46171342335182,133.80019857029382,0.0930778395552024,2.502022239872916,0.09461539606812287,1.8983455963169185
326,Information Technology,IT Consulting & Other Services,ACN,101.02282613185058,101.76644011119932,100.34816306592532,101.11907863383648,0.09625250198570272,1.4182770452740274,0.09393068851371902,1.4235065171180195
213,Health Care,Health Care Equipment,VAR,85.9575178713265,86.64681556791106,85.33132152501999,86.03756949960285,0.08005162827640996,1.3154940428911832,0.0930383119955817,1.535418728962963
353,Information Technology,"Technology Hardware, Storage & Peripherals",NTAP,37.058345035742676,37.458696822875346,36.70389356632248,37.09128832406676,0.03294328832406667,0.7548032565528198,0.09229850337827408,2.0849612037439433
242,Industrials,Aerospace & Defense,GD,139.19668784749794,140.23316338363824,138.26692081016694,139.30958697378898,0.11289912629070685,1.9662425734710067,0.09105899473238198,1.4294626978476228
55,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",MAR,72.82486767275627,73.47966957903097,72.21795599682285,72.8957482128673,0.07088054011119936,1.2617135822081023,0.09104520737972072,1.7444311200546854
234,Health Care,Pharmaceuticals,ABBV,60.80280063542492,61.474133042096916,60.17727490071496,60.86444003177118,0.06163939634630623,1.2968581413820486,0.09057526721152226,2.1439342740096916
149,Financials,Financial Exchanges & Data,MCO,97.4427164416204,98.28311207307372,96.6587777601271,97.52048451151713,0.07776806989674305,1.6243343129467842,0.08986885474302184,1.732534206089791
323,Information Technology,Electronic Components,GLW,21.512188244638573,21.71181985702938,21.33839841143764,21.529936457505936,0.017748212867355086,0.3734214455917389,0.08828265782161299,1.7864430512932106
216,Health Care,Health Care Facilities,HCA,68.10384432088966,68.90360452740279,67.34798069896739,68.16123907863381,0.05739475774424145,1.5556238284352653,0.08762155724708216,2.313656063354588
304,Information Technology,Application Software,CDNS,22.582664733915827,22.80038316123906,22.375265925337576,22.603097696584616,0.020432962668784777,0.42511723590150907,0.08730210172687519,1.949460307437498
57,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",RCL,75.30914233518654,76.15062343129472,74.50785567911045,75.36123510722793,0.05209277204130269,1.6427677521842725,0.08628342796308261,2.183875233783001
340,Information Technology,Semiconductors,INTC,31.804532247815757,32.085516521048476,31.538919936457514,31.831530738681487,0.026998490865766497,0.5465965845909444,0.08595778349030968,1.7133781310715939
302,Information Technology,Application Software,ADSK,64.13887728355833,64.8747032565527,63.4175748212867,64.19433582208113,0.05545853852263709,1.4571284352660836,0.08418218041350407,2.2925412656412263
245,Industrials,Aerospace & Defense,NOC,176.36585385226365,177.66697458300234,175.16761715647385,176.4954567116756,0.12960285941223204,2.4993574265289955,0.08367506900737852,1.4497342530045088
151,Financials,Financial Exchanges & Data,SPGI,101.15640190627488,102.00650428911851,100.33668713264488,101.22704924543278,0.07064733915806189,1.6698171564733886,0.08353627732833922,1.6999913648240408
150,Financials,Financial Exchanges & Data,NDAQ,53.50127084988089,53.960815965051644,53.06967100873715,53.540837966640254,0.039567116759332666,0.8911449563145336,0.08279151411095885,1.7320721572106175
349,Information Technology,Systems Software,MSFT,51.0263942811756,51.43600706910248,50.630396743447186,51.063080619539384,0.036686338363780796,0.8056103256552819,0.0820396918168991,1.6184553213812891
314,Information Technology,Data Processing & Outsourced Services,FIS,65.9059185067513,66.36401620333594,65.46653042096905,65.95638999205721,0.050471485305798244,0.8974857823669565,0.08075399276081743,1.390251354650571
