,GICS Sub-Industry,open,high,low,close,daily_gain,daily_volatility,daily_gain%,volatility%
20,Computer & Electronics Retail,37.85417791898332,38.358001826846646,37.388816123907915,37.89544876886418,0.04127084988085765,0.9691857029388389,0.11151618350511915,2.6747760022457143
36,Electronic Components,39.17277899126303,39.474566044479815,38.89703248610004,39.201431691819025,0.02865270055599676,0.5775335583796658,0.08331162005815591,1.5980116188928228
111,Systems Software,51.0263942811756,51.43600706910248,50.630396743447186,51.063080619539384,0.036686338363780796,0.8056103256552819,0.0820396918168991,1.6184553213812891
80,Managed Health Care,119.43925849086537,120.66236135027768,118.30127903097738,119.53138522636968,0.09212673550436849,2.3610823193010315,0.08128648605988002,2.0437218352335007
1,Aerospace & Defense,151.61772644956292,152.854560535572,150.44868270736495,151.72572676727566,0.10800031771247028,2.4058778282083297,0.07790653834169685,1.6469168783111634
41,Financial Exchanges & Data,77.06094796661813,77.71583683931644,76.42332616240543,77.11252086369038,0.05157289707245977,1.2925106769108479,0.07168143300786047,1.7291068907442788
100,Research & Consulting Services,63.88868023008106,64.39728125266292,63.394836983383314,63.928943544950975,0.04026331487004701,1.0024442692799291,0.07046423283531916,1.6488046285879785
8,Application Software,67.09161386706703,67.70833795568848,66.485810080325,67.13638969017539,0.04477582310883577,1.2225278753641056,0.06639978430249983,1.8591414368677694
72,Interactive Home Entertainment,47.1486616759333,47.68554487688639,46.60366489277195,47.177408300238234,0.028746624305004038,1.0818799841143765,0.06420095307787431,2.3640825550882436
61,Human Resource & Employment Services,46.20834789515489,46.63319745830025,45.78763018268471,46.23563145353454,0.0272835583796665,0.8455672756155674,0.06231486303216547,1.847691123322877
39,Environmental & Facilities Services,50.74785742652907,51.05641862589352,50.4709106036537,50.777402700555925,0.02954527402700561,0.5855080222398735,0.061313392983252155,1.179842870270845
69,Insurance Brokers,76.80462253193951,77.33833684088236,76.28663535423915,76.84690127758422,0.04227874564459932,1.0517014866434393,0.05857387871789521,1.3416289617898198
3,Agricultural Products,42.37951945988878,42.762705877680744,42.01937029388402,42.40211278792688,0.02259332803812563,0.743335583796665,0.05794716647255468,1.7723547317375583
19,Communications Equipment,58.9859539515487,59.542355897537696,58.4615624503574,59.016850794281204,0.03089684273232739,1.080793447180302,0.05755565367109812,1.8031771748460061
79,Life Sciences Tools & Services,180.10151588258924,181.86562513067966,178.33251996381202,180.19332870928872,0.0918128266988339,3.5331051668676934,0.057150310668082994,2.0514499411484324
2,Agricultural & Farm Machinery,94.74861405877682,95.49435083399514,94.03482724384432,94.80416203335986,0.05554797458300238,1.4595235901509123,0.05650470013534107,1.5589566021827894
97,Railroads,82.34696264892796,83.1368848093725,81.60447803812518,82.38748113582203,0.040518486894360585,1.5324067712470173,0.054076877134677535,1.8917075149836748
4,Air Freight & Logistics,95.07141995631457,95.80009988085763,94.37888933677549,95.11638899920571,0.044969042891183725,1.421210544082608,0.05375309341985499,1.5282172465625592
37,Electronic Equipment & Instruments,32.93404686258932,33.245052263701346,32.63126687847497,32.95123431294675,0.017187450357426484,0.6137853852263707,0.052353917068637734,1.8778928993288515
57,"Hotels, Resorts & Cruise Lines",60.28889638554202,60.893615662650724,59.70015954442758,60.32126167168672,0.032365286144578315,1.1934561182228869,0.05206434341049957,2.01673756481261
43,Food Retail,28.484666401906235,28.753201191421784,28.21988490865766,28.496989674344707,0.012323272438443215,0.5333162827640987,0.051983946043639345,1.8523265124721622
77,Leisure Products,70.83037212073059,71.4831057982526,70.18752446386029,70.86050833995236,0.030136219221604532,1.2955813343923732,0.05197415157456084,1.8249427569179923
84,Multi-Utilities,56.30418884954443,56.72735757334859,55.885424577251186,56.332174447174296,0.027985597629715305,0.841932996097699,0.051427089581850376,1.537702130642637
27,Data Processing & Outsourced Services,61.80418975496432,62.28198891001234,61.33258587874938,61.83672032108162,0.0325305661174482,0.9494030312631986,0.05139241629994836,1.6014091794811365
51,Health Care Supplies,100.89190675138988,101.89376168917124,99.86530926661372,100.94232419909972,0.050417447709822635,2.028452422557584,0.04991056962445771,2.015970633910241
48,Health Care Facilities,80.88382017474198,81.71610452740269,80.0568795340216,80.92174741858605,0.037927243844321,1.6592249933809904,0.0486195459309381,2.038977414517324
63,IT Consulting & Other Services,101.90420409445804,102.67163833555509,101.16732668063241,101.95129813368877,0.04709403923062263,1.5043116549228734,0.047945223302881285,1.5667816874716305
47,Health Care Equipment,79.25658241578158,79.91294274073324,78.60861264533473,79.29417772036172,0.03759530458113894,1.304330095398997,0.047832364160814274,1.6755413431132273
32,Diversified Support Services,88.38347116759344,88.99747037331211,87.74005162827653,88.41803097696595,0.03455980937251801,1.2574187450357446,0.047771210234536975,1.4320345830152257
33,Drug Retail,73.0667712470213,73.749932406672,72.38137299444,73.0920015885622,0.02523034154090564,1.3685594122319318,0.04644368536489355,1.8845238286404549
28,Distillers & Vintners,85.45497509928532,86.136334511517,84.77137942811774,85.48216838760918,0.027193288324066683,1.364955083399522,0.04609156055980969,1.619732768533528
75,Internet Services & Infrastructure,71.70437063807253,72.32032901773886,71.10840137675397,71.73929571088159,0.03492507280910772,1.2119276409849071,0.045944701741036285,1.7576984507671876
114,Tobacco,73.3832824861,73.87792013502794,72.89750687053211,73.41460683081814,0.03132434471803024,0.9804132644956304,0.044867722810614165,1.3424739336154738
81,Metal & Glass Containers,33.16222200158852,33.41835178713263,32.8935786338364,33.17507942811753,0.012857426528991314,0.5247731532962672,0.044784116815455396,1.5796377197027884
